Accession,Title,Technology,Taxonomy,Data Rows,Samples Count,Series Count,Contact,Release Date
GPL30510,"Qiagen RT² Profiler™ PCR Array Mouse Growth Factors PAMM-041Z","RT-PCR","Mus musculus",84,6,1,"Nureen Hanisah Mohamad Zaki","Jun 01, 2022"
GPL31292,"Agilent-015061 pan-genomic C. elegans 4*44K microarray (Probe Name version)","in situ oligonucleotide","Caenorhabditis elegans",0,4,1,"LINH CHI BUI","Jun 01, 2022"
GPL32302,"Illumina NovaSeq 6000 (Conchiformibius steedae DSM 2580)","high-throughput sequencing","Conchiformibius steedae DSM 2580",0,0,0,"GEO","May 31, 2022"
GPL32305,"Illumina MiSeq (Mus)","high-throughput sequencing","Mus",0,0,0,"GEO","May 31, 2022"
GPL32185,"Human Fatty Acid and Lipid Metabolism Primer Library","RT-PCR","Homo sapiens",83,12,3,"Yi-Jia Li","May 30, 2022"
GPL32300,"Illumina HiSeq 2000 (Cucurbita pepo)","high-throughput sequencing","Cucurbita pepo",0,18,1,"GEO","May 29, 2022"
GPL32297,"PromethION (insect gut metagenome)","high-throughput sequencing","insect gut metagenome",0,6,1,"GEO","May 27, 2022"
GPL32298,"Illumina HiSeq 2500 (Streptococcus salivarius)","high-throughput sequencing","Streptococcus salivarius",0,0,0,"GEO","May 27, 2022"
GPL32299,"Illumina HiSeq 4000 (synthetic bacterium JCVI-Syn3A)","high-throughput sequencing","synthetic bacterium JCVI-Syn3A",0,0,0,"GEO","May 27, 2022"
GPL31299,"Illumina HiSeq 3000 (Camelus ferus)","high-throughput sequencing","Camelus ferus",0,0,0,"GEO","May 26, 2022"
GPL31300,"Illumina HiSeq 3000 (Crassostrea gigas)","high-throughput sequencing","Crassostrea gigas",0,0,0,"GEO","May 26, 2022"
GPL31301,"Illumina HiSeq 3000 (Lama glama)","high-throughput sequencing","Lama glama",0,0,0,"GEO","May 26, 2022"
GPL31302,"Illumina HiSeq 3000 (Loligo vulgaris)","high-throughput sequencing","Loligo vulgaris",0,0,0,"GEO","May 26, 2022"
