Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE54558,"Lipopolysaccharide modulates rhinovirus-induced chemokine secretion in monocytes and macrophages.","Expression profiling by array","Homo sapiens",2,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54558/suppl",24498897,,"Maya R Karta","Jan 31, 2014"
GSE134701,"Lipopolysaccharide-dependent transcriptional regulation of PU.1 in microglial cells","Expression profiling by high throughput sequencing","Mus musculus",4,,"TAB;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134701/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA556190",,SRP216017,"Young Gyu Chai","Jul 23, 2020"
GSE5883,"Lipopolysaccharide-induced Changes in Gene Expression in Human Lung Microvascular Endothelial Cells over Time","Expression profiling by array","Homo sapiens",24,,,,,,"Anya Carmen Harry","May 29, 2009"
GSE50619,"Lipopolysaccharide-induced microRNA-146a targets CARD10 and involves in angiogenesis of human umbilical vein endothelial cells","Expression profiling by array","Homo sapiens",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50619/suppl",,,"Ching-Hua Hsieh","Sep 10, 2013"
GSE132661,"Lipopolysaccharide-mediated chronic inflammation promotes tobacco carcinogen-induced lung tumorigenesis","Expression profiling by array","Mus musculus",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132661/suppl",,,"Chia-Hsin Liu","Dec 31, 2020"
GSE105,"Lipopolysaccharide-stimulated neutrophils","Expression profiling by array","Homo sapiens",6,,,,12495940,,"K C Malcolm","Mar 10, 2003"
GSE154943,"Lipoprotein Lipase Overexpression in Skeletal Muscle Attenuates Weight Regain by Potentiating Energy Expenditure","Expression profiling by high throughput sequencing","Mus musculus",19,,"XLSX;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154943/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA647913",33536195,SRP273157,"Michael C. Rudolph","Mar 24, 2021"
GSE124131,"Lipoprotein Particle (LPP) exRNA Profiles Isolated from Plasma","Expression profiling by high throughput sequencing","Homo sapiens",4,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124131/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA510819",,SRP173955,"Robert L Raffai","Dec 20, 2018"
GSE44247,"Lipoprotein lipase in chronic lymphocytic leukemia - strong biomarker with lack of functional significance","Expression profiling by array","Homo sapiens",20,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44247/suppl",23478142,,"Stefanie Tauber","Feb 13, 2013"
GSE40387,"Liposome transfection of miR-145 induces immune response via RIG-I in mesenchymal stem cells","Expression profiling by array","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40387/suppl",23568258,,"Tommy Aleksander Karlsen","Oct 01, 2012"
