Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE193676,"EPAJ: Effect of mares' parity and age","Expression profiling by high throughput sequencing","Equus caballus",34,,,,35705916,,"Emilie Derisoud","Jun 15, 2022"
GSE77128,"EPCR Expression Defines the Most Primitive Subset of Human HSPC and Is Required for Their In Vivo Activity","Expression profiling by high throughput sequencing","Homo sapiens",12,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77128/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA309525",28408459,SRP068773,"Guy Sauvageau","Jun 22, 2017"
GSE188918,"EPDR1 inhibits proliferation and matastasis of ovarian cancer through PI3K/AKT pathway","Expression profiling by high throughput sequencing","Homo sapiens",6,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE188nnn/GSE188918/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA780777",35004274,SRP346315,"dan zhen Zhao","Nov 18, 2021"
GSE145801,"EPI-00649-2019 New insights into the early mechanisms of epileptogenesis in a zebrafish model of Dravet syndrome","Expression profiling by high throughput sequencing","Danio rerio",4,,"TXT;SRA Run Selector","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE145nnn/GSE145801/suppl;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA608279",32096222,SRP250477,"Kamil Grzyb","Feb 25, 2020"
GSE174008,"EPIC Methylation array profiling of MCF-7 cells","Methylation profiling by array","Homo sapiens",9,,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174008/suppl",35440061,,"Roza Berhanu Lemma","Apr 27, 2022"
GSE145233,"EPIC analysis of Brazilian babies born with congenital microcephaly","Methylation profiling by genome tiling array","Homo sapiens",45,,"IDAT;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE145nnn/GSE145233/suppl",,,"Denise Anderson","Jul 20, 2020"
GSE162984,"EPIC-HPS","Methylation profiling by array","Homo sapiens",12,,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162984/suppl",33630849,,"Nuria Mendoza","Dec 26, 2020"
GSE51032,"EPIC-Italy at HuGeF","Methylation profiling by array","Homo sapiens",845,,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51032/suppl",,,"Gianluca Campanella","Sep 20, 2013"
GSE199032,"EPIC-based DNA methylation analysis of glioblastoma stem cells and H9NSC (HOXA-AS2 depletion or overexpression)","Methylation profiling by genome tiling array","Homo sapiens",7,,"IDAT;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE199nnn/GSE199032/suppl",35563134,,"franck court","Apr 15, 2022"
GSE161175,"EPIC-based DNA methylation analysis of glioblastoma stem cells.","Methylation profiling by genome tiling array","Homo sapiens",2,,"IDAT;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE161nnn/GSE161175/suppl",33720519;35563134,,"franck court","Mar 09, 2021"
